id,title,link,pubDate,resume,creator,source
11,HashKey Capital's $100M Digital Asset Fund to Invest Significantly in Altcoins: Reuters,https://www.coindesk.com/business/2023/09/01/hashkey-capitals-100m-digital-asset-fund-to-invest-significantly-in-altcoins-reuters/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 09:15:52 +0000","Less than half of the fund's investments will be in bitcoin (BTC) and ether (ETH), the two largest cryptocurrencies, with the aim of diversifying allocations to smaller cap assets.",Jamie Crawley,coindesk
12,"Bitcoin Slides Under $26K, Majors SOL, XRP, DOGE Erase All Weekly Gains",https://www.coindesk.com/markets/2023/09/01/bitcoin-slides-under-26k-majors-sol-xrp-doge-erase-all-weekly-gains/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 09:08:33 +0000","Only tron (TRX) and toncoin (TON) were in the green on Friday, up over 1% each on no immediate catalysts.",Shaurya Malwa,coindesk
13,Shibarium Crosses 600K Unique Wallets as SHIB Whale Moves $38M,https://www.coindesk.com/tech/2023/09/01/shibarium-crosses-600k-unique-wallets-as-shib-whale-moves-38m/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 06:55:09 +0000",Network activity has started to chug along since an earlier glitch was solved last weekend.,Shaurya Malwa,coindesk
14,"OKX Planning Web3 Foray Into India, Chief Marketing Officer Says",https://www.coindesk.com/business/2023/09/01/okx-planning-web3-foray-into-india-chief-marketing-officer-says/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Fri, 01 Sep 2023 01:30:00 +0000","OKX, one of the biggest crypto exchanges by trading volume, is planning to enter India to explore potential Web3 applications.",Amitoj Singh,coindesk
15,The Trillion Dollar Crypto Opportunity: Real World Asset Tokenization,https://www.coindesk.com/consensus-magazine/2023/08/31/the-trillion-dollar-crypto-opportunity-real-world-asset-tokenization/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 20:24:18 +0000","Going by technology theorist Carlota Perez's research, ""RWAs"" may be the next phase of substantive crypto development.",Justin Banon,coindesk
16,"MakerDAO’s MKR Token Jumps 10%, Defying Crypto Market Slump",https://www.coindesk.com/markets/2023/08/31/makerdaos-mkr-token-jumps-10-defying-crypto-market-slump/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 20:17:10 +0000","The rally occurred amid improving fundamentals of Maker, as the protocol has returned to make profits, Messari analyst Kunal Goel said.",Krisztian  Sandor,coindesk
220,A New Design for Wallet Pages,https://bitcoin.org/en/posts/new-design-for-wallet-pages.html,"Tue, 24 Sep 2019 00:00:00 +0000","A new, more user-friendly and simple set of pages designed to help people find
an ideal bitcoin wallet is now available. It includes a step-by-step wizard to
help people become more familiar with wallets, ratings to compare how they stack
up alongside other wallets, as well as explanations of features they provide
in order to help people make their own informed decisions. Aside from the
wizard, a completely new comparative table and selector is available so people
can see how wallets fare against one another. This is designed to help
people quickly find a wallet to meet their needs.
Check out the new wallet pages and curate your own list of
wallets.
The Old Design
While the old wallet pages presented an assortment of wallets people could
choose from, the experience of doing so was cumbersome and tedious. In order to
see how wallets were rated one would need to navigate to each individual wallet
and then browse back to the overview page to select another wallet to see how
the two might compare. It was not possible to see these comparisons side by
side. One would need to use multiple tabs or browser windows and toggle back and
forth, or a single window, navigating backward and forward.
In addition to the comparative difficulties, millions of people visit
bitcoin.org, many of whom are new to Bitcoin, and have little to no familiarity
with how it works. This is further complicated when a person needs to choose a
bitcoin wallet and has no idea what makes one an optimal choice, what the
features are and what they do, or what they need.
The new design resolves these issues by allowing people to easily compare
wallets, see how they’re rated and subsequently generate a list of wallets based
on available features - in addition to explaining things each step along the
way.
Wallet Ratings
Wallets are given one of four ratings - good, acceptable, caution or neutral.
These ratings are applied across six categories:
Control: Some wallets give you full control over your bitcoin. This means
no third party can freeze or take away your funds. You are still responsible,
however, for securing and backing up your wallet.
Validation: Some wallets have the ability to operate as a full node. This
means no trust in a third party is required when processing transactions. Full
nodes provide a high level of security, but they require a large amount of
memory.
Transparency: Some wallets are open-source and can be built
deterministically, a process of compiling software which ensures the resulting
code can be reproduced to help ensure it hasn’t been tampered with.
Environment: Some wallets can be loaded on computers which are vulnerable
to malware. Securing your computer, using a strong passphrase, moving most of
your funds to cold store or enabling 2FA or multifactor authentication can help
you protect your bitcoin.
Privacy: Some wallets make it harder to spy on your transactions by
rotating addresses. They do not disclose information to peers on the network.
They can also optionally let you setup and use Tor as a proxy to prevent others
from associating transactions with your IP address.
Fees: Some wallets give you full control over setting the fee paid to the
bitcoin network before making a transaction, or modifying it afterward, to
ensure that your transactions are confirmed in a timely manner without paying
more than you have to.
These ratings are available to review both on the overview page that includes
all wallets, as well as the individual landing pages for each wallet.
Wallet Features
There are nine features people can choose from to sort wallets by. These
features are:
2FA: Two-factor authentication (2FA) is a way to add additional security
to your wallet. The first ‘factor’ is your password for your wallet. The
second ‘factor’ is a verification code retrieved via text message or from an app
on a mobile device. 2FA is conceptually similar to a security token device that
banks in some countries require for online banking. It likely requires relying
on the availability of a third party to provide the service.
Bech32: Bech32 is a special address format made possible by SegWit (see
the feature description for SegWit for more info). This address format is also
known as ‘bc1 addresses’. Some bitcoin wallets and services do not yet support
sending or receiving to Bech32 addresses.
Full Node: Some wallets fully validate transactions and blocks. Almost all
full nodes help the network by accepting transactions and blocks from other
full nodes, validating those transactions and blocks, and then relaying them to
further full nodes.
Hardware Wallet Compatibility: Some wallets can pair and connect to a
hardware wallet in addition to being able to send to them. While sending to a
hardware wallet is something most all wallets can do, being able to pair with
one is a unique feature. This feature enables you to be able to send and receive
directly to and from a hardware wallet.
Legacy Addresses: Most wallets have the ability to send and receive legacy
bitcoin addresses. Legacy addresses start with 1 or 3 (as opposed to starting
with bc1). Without legacy address support you may not be able to receive bitcoin
from older wallets or exchanges.
Lightning: Some wallets support transactions on the Lightning Network. The
Lightning Network is new and somewhat experimental. It supports transferring
bitcoin without having to record each transaction on the blockchain, resulting
in faster transactions and lower fees.
Multisig: Some wallets have the ability to require more than one key to
authorize a transaction. This can be used to divide responsibility and control
over multiple parties.
SegWit: Some wallets support SegWit, which uses block chain space more
efficiently. This helps reduce fees paid by helping the Bitcoin network scale
and sets the foundation for second layer solutions such as the Lightning
Network.
People can select features that are important to them alongside the ratings
described above, based on their operating system and/or environment.
Acknowledgments
The new wallet page improvements wouldn’t have been possible without donations
from the community, as well as community feedback that we received as various
milestones were passed and presented along the way. A special thanks is also
due to several people who spent a significant amount of their personal time on
this project - Craig Watkins, Cøbra, Natalia Kirejczyk, Alex Cherman, and
Maxwell Mons. Lastly, we appreciate the efforts of many contributors that spent
time reporting issues on GitHub with regard to both the old and new design, that
we were able to resolve as part of this work:
1986
2723
2861
2892
3020
3022
3023
3032
3051
Adding a Wallet
For people who would like to submit a wallet that isn’t listed on the site for
potential inclusion, documentation is
available
for review.
Feedback
If you have any feedback on the new wallet pages, ideas on how they can be made
better, or if you’ve encountered a problem, please let us know by opening an
issue on GitHub.
About bitcoin.org
Bitcoin.org was originally registered and owned by Satoshi Nakamoto and Martti
Malmi. When Satoshi left the project, he gave ownership of the domain to
additional people, separate from the Bitcoin developers, to spread
responsibility and prevent any one person or group from easily gaining control
over the Bitcoin project. Since then, the site has been developed and maintained
by different members of the Bitcoin community.
Despite being a privately owned site, its code is open-source and there have
been thousands of commits from hundreds of contributors from all over the world.
In addition to this, over a thousand translators have helped to make the site
display natively to visitors in their own languages — now 25 different languages
and growing.
Bitcoin.org receives millions of visitors a year from people all over the world
who want to get started with and learn more about Bitcoin.",,bitcoin
17,"SEC Delays Spot Bitcoin ETF Decision for All Applicants Including BlackRock, Fidelity",https://www.coindesk.com/policy/2023/08/31/after-grayscale-victory-sec-kicks-the-can-on-latest-bitcoin-etf-applications/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 19:23:59 +0000",The U.S. Securities and Exchange Commission (SEC) delayed making a decision on any bitcoin exchange-traded fund applications filed earlier this year.,Nikhilesh De,coindesk
18,Bitcoin ETF Applications Are Bitcoin's Best Marketing Strategy,https://www.coindesk.com/consensus-magazine/2023/08/31/bitcoin-etf-applications-are-bitcoins-best-marketing-strategy/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 16:07:04 +0000","",Tim Haldorsson,coindesk
19,Crypto for Advisors: Bitcoin and the Bull,https://www.coindesk.com/coindesk-indices/2023/08/31/crypto-for-advisors-bitcoin-and-the-bull/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 15:45:00 +0000",What’s behind the bull case for bitcoin? Brian Rudick and Matt Kunke from GSR take us through the reasons in today’s Crypto for Advisors newsletter.,"Sarah Morton, Brian Rudick, Matt Kunke",coindesk
20,U.S. Court Calls ETH a Commodity While Tossing Investor Suit Against Uniswap,https://www.coindesk.com/policy/2023/08/31/us-court-calls-eth-a-commodity-while-tossing-investor-suit-against-uniswap/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 13:14:29 +0000","A New York judge declined to ""stretch the federal securities laws to cover the conduct alleged"" in a proposed class action complaint seeking to hold Uniswap accountable for ""scam tokens"" issued on the protocol.",Sandali Handagama,coindesk
21,Ether Heads for 'Death Cross',https://www.coindesk.com/markets/2023/08/31/ether-heads-for-death-cross/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 13:03:04 +0000","",Omkar Godbole,coindesk
22,Arbitrum Developer Courts Coders Who Already Know WebAssembly-Compatible Languages,https://www.coindesk.com/tech/2023/08/31/arbitrum-developer-courts-coders-who-already-know-webassembly-compatible-languages/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 13:00:00 +0000","The new feature ""Arbitrum Stylus"" will make it easy to write smart contracts using computer languages compatible with the WebAssembly or WASM standard – seen as far more common than the Ethereum Virtual Machine or EVM standard that many blockchain developers currently use.",Margaux Nijkerk,coindesk
23,First Mover Americas: Musk's X Obtains Payment Licenses in Several U.S. States ,https://www.coindesk.com/markets/2023/08/31/first-mover-americas-musks-x-obtains-payment-licenses-in-several-us-states/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 12:56:23 +0000","The latest price moves in bitcoin (BTC) and crypto markets in context for August 30, 2023. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.","Lyllah Ledesma, Omkar Godbole",coindesk
24,Aerodrome Fanatics Deposit $150M to Base Blockchain on First Day,https://www.coindesk.com/tech/2023/08/31/aerodrome-fanatics-deposit-150m-to-base-blockchain-on-first-day/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 12:07:26 +0000","Its creators hope to emulate the apparent success of Velodrome, one of Optimism network’s most used platforms which holds over $288 million in locked value.",Shaurya Malwa,coindesk
25,"Swift, Chainlink Tokenization Experiment Successfully Transfers Value Across Multiple Blockchains",https://www.coindesk.com/tech/2023/08/31/swift-chainlink-tokenization-experiment-successfully-transfers-value-across-multiple-blockchains/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 10:06:09 +0000",Swift and Chainlink announced in June they were collaborating with dozens of financial institutions to test connecting blockchains.,Camomile Shumba,coindesk
26,"Elon Musk's X Has Licenses in Multiple U.S. States to Process Payments, Including Crypto",https://www.coindesk.com/business/2023/08/31/elon-musks-x-has-licenses-in-multiple-us-states-to-process-payments-including-crypto/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 09:31:23 +0000","Elon Musk's social media platform X, formerly Twitter, has obtained money or currency transmitter licenses in seven U.S. states.",Sandali Handagama,coindesk
27,SEC Could Prepare Alternative Arguments to Reject Spot Bitcoin ETFs: Berenberg,https://www.coindesk.com/business/2023/08/31/sec-could-prepare-alternative-arguments-to-reject-spot-bitcoin-etfs-berenberg/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 09:19:09 +0000","Coinbase’s potential involvement in spot bitcoin ETFs could serve as part of the SEC’s reconfigured arguments for rejecting the applications, the report said.",Will Canny,coindesk
28,Scores of Friend.tech Users Remain Active Even as Trading Volumes Drop 95%,https://www.coindesk.com/tech/2023/08/31/scores-of-friendtech-users-remain-active-even-as-trading-volumes-drop-95/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 09:04:40 +0000",Falling revenues have led some market commenters to say the platform has “gone dead.” But has it?,Shaurya Malwa,coindesk
29,"Bitcoin Holdings on Crypto Exchanges Dwindle to 2M, Fewest Since January 2018",https://www.coindesk.com/markets/2023/08/31/bitcoin-holdings-on-crypto-exchanges-dwindle-to-2m-fewest-since-january-2018/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 08:55:49 +0000","The number of BTC held in wallets tied to crypto exchanges has declined by 4% this month, data tracked by CryptoQuant show.",Omkar Godbole,coindesk
30,Binance to 'Gradually' End Support for BUSD Products,https://www.coindesk.com/business/2023/08/31/binance-to-gradually-end-support-for-busd-products/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 08:27:23 +0000","",Jamie Crawley,coindesk
31,"Bitcoin Slumps to $25.5K, With Price Now Probing August Low",https://www.coindesk.com/markets/2023/08/31/bitcoin-starts-to-retrace-grayscale-fueled-gain-sol-xrp-dot-lead-majors-slide/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Thu, 31 Aug 2023 08:07:55 +0000","The CoinDesk Market Index, a weighted index of over 100 tokens, fell 0.71% in the past 24 hours, suggesting profit-taking across the board.","Shaurya Malwa, Krisztian  Sandor, Stephen  Alpher",coindesk
32,Gemini Opposes Genesis Bankruptcy Plan: 'Woefully Light on Specifics',https://www.coindesk.com/policy/2023/08/30/gemini-opposes-genesis-bankruptcy-plan-woefully-light-on-specifics/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 21:43:15 +0000",Attorneys for crypto exchange Gemini argued that a proposed resolution for Genesis' bankruptcy doesn't have enough detail or provide any assurances for some if its largest debtors in a new filing Wednesday.,Nikhilesh De,coindesk
87,Natural Gas Storage Build Exceeds Analyst Estimates,https://www.fxempire.com/news/article/natural-gas-storage-build-exceeds-analyst-estimates-1371601,"Thu, 31 Aug 2023 14:55:36 GMT",Traders also stay focused on the consequences of Hurricane Idalia and the potential strike at Australian LNG facilities.,Vladimir Zernov,fxempire
33,"Grayscale’s SEC Victory May Render Alameda’s Redemptions Lawsuit Unnecessary, Bloomberg Analysts Say",https://www.coindesk.com/business/2023/08/30/grayscales-sec-victory-may-render-alamedas-redemptions-lawsuit-unnecessary-bloomberg-analysts-say/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 20:49:53 +0000","The ruling could lead to Grayscale's GBTC converting into a bitcoin ETF, which would allow redemptions, making Alameda's suit unnecessary, Bloomberg Intelligence analysts said in a note on Wednesday.",Ian Allison,coindesk
34,"Bitcoin Slips to $27.2K, Cryptos Dip as Investors Digest Grayscale’s Court Win",https://www.coindesk.com/markets/2023/08/30/bitcoin-slips-to-272k-cryptos-dip-as-investors-digest-grayscales-court-win/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 20:36:00 +0000","Some signs suggest potential market weakness despite Tuesday’s rally, market observers noted.",Krisztian  Sandor,coindesk
35,"Save a Tree, Use Web3",https://www.coindesk.com/consensus-magazine/2023/08/30/save-a-tree-use-web3/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 20:03:13 +0000","Distributed technologies can reshape supply chains, and help consumers and businesses to make more responsible decisions.",Marc Johnson,coindesk
36,"StarkWare Restores Crypto Access for Delinquent Wallet Updaters, After Complaints on X",https://www.coindesk.com/tech/2023/08/30/starkware-restores-crypto-access-for-delinquent-wallet-updaters-after-complaints-on-x/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 19:45:15 +0000","After users complained on X, StarkWare walked back on a move in which it implemented an upgrade that made users' funds inaccessible.",Margaux Nijkerk,coindesk
37,"Sam Bankman-Fried Lawyers ‘Need’ Him Out Of Jail Ahead of Trial, They Tell Judge ",https://www.coindesk.com/policy/2023/08/30/sam-bankman-fried-lawyers-need-him-out-of-jail-ahead-of-trial-they-tell-judge/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 18:44:18 +0000","","Danny Nelson, Helene Braun",coindesk
38,"The Protocol: Friend.tech Fades as Crypto Craze, but Ethereum Is Scaling",https://www.coindesk.com/tech/2023/08/30/the-protocol-friendtech-fades-as-crypto-craze-but-ethereum-is-scaling/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 18:05:21 +0000","This week in blockchain tech: Polygon's new ""chain development kit,"" Farcaster's move to Optimism, Shibarium's return and Interlay's new Bitcoin layer-2 network, and Pancake Swap expands to Consensys's Linea.",Bradley Keoun,coindesk
39,Bitcoin Average Trade Size Jumps to Highest Level Since June After Grayscale Ruling,https://www.coindesk.com/markets/2023/08/30/bitcoin-average-trade-size-jumps-to-highest-level-since-june-after-grayscale-ruling/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 17:49:27 +0000","The increase in average trade size could suggest large traders are more active, said research firm Kaiko.",Lyllah Ledesma,coindesk
40,Robinhood’s Crypto Wallet Adds Bitcoin and Dogecoin,https://www.coindesk.com/business/2023/08/30/robinhoods-crypto-wallet-adds-bitcoin-and-dogecoin/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 16:39:02 +0000",Robinhood Markets is expanding the assets supported by its crypto wallet.,Danny Nelson,coindesk
41,Controversial Digital Euro Plan to Be Led by Architect of Landmark MiCA Crypto Law,https://www.coindesk.com/policy/2023/08/30/controversial-digital-euro-plan-to-be-led-by-architect-of-landmark-mica-crypto-law/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 16:20:20 +0000",The center-right lawmaker previously negotiated the landmark MiCA crypto law for the European Parliament,Jack Schickler,coindesk
42,Why Good Indexes Are Vital to Crypto’s Future,https://www.coindesk.com/coindesk-indices/2023/08/30/why-good-indexes-are-vital-to-cryptos-future/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 15:45:00 +0000","Indexing is vital for the advancement of new asset classes like crypto, but the U.S. regulatory crackdown is hampering their development.","Jason Hall, John McNiff",coindesk
43,A Guide to TradFi Blockchain Adoption,https://www.coindesk.com/coindesk-indices/2023/08/30/a-guide-to-tradfi-blockchain-adoption/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 15:45:00 +0000","As financial institutions look to come on-chain, total value locked, or TVL, is anticipated to be the leading indicator of where adoption will occur.","Diana Zalles, Dan Garzia",coindesk
44,Ethereum Handled Friend.tech Frenzy Without 'Gas Fee' Spike. Why That’s a Big Deal,https://www.coindesk.com/tech/2023/08/30/ethereum-handled-friendtech-frenzy-without-fee-spike-why-thats-a-big-deal/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 15:00:00 +0000","Friend.tech, Crypto's latest fad, didn't drive up congestion and fees on Ethereum the way frenzies have in the past – possibly a sign that the blockchain's efforts to scale by fostering supplemental ""layer-2"" networks, like Coinbase's new Base, are bearing fruit.",Lyllah Ledesma,coindesk
45,First Mover Americas: Bitcoin Rallies on Grayscale Court Win Over SEC ,https://www.coindesk.com/markets/2023/08/30/first-mover-americas-bitcoin-rallies-on-grayscale-court-win-over-sec/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 12:33:04 +0000","The latest price moves in bitcoin (BTC) and crypto markets in context for August 30, 2023. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.","Lyllah Ledesma, Omkar Godbole",coindesk
46,"Sam Bankman-Fried's Allotted Prison Tech Is Inconvenient, but Fair: U.S. DOJ",https://www.coindesk.com/policy/2023/08/30/sam-bankman-frieds-allotted-prison-tech-is-inconvenient-but-fair-us-doj/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 11:05:16 +0000","Federal prosecutors say the FTX founders' access to technology in pre-trial detention goes ""above and beyond '' that which other defendants have been offered.",Elizabeth Napolitano,coindesk
47,Grayscale Victory Against SEC Clears Path for Spot Bitcoin ETFs: Bernstein,https://www.coindesk.com/policy/2023/08/30/grayscale-victory-against-sec-clears-path-for-spot-bitcoin-etfs-bernstein/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 10:20:36 +0000","The ruling increases the likelihood the SEC might approve all bitcoin spot ETF applications together, the report said.",Will Canny,coindesk
48,Genesis Lender Group Opposes ‘Wholly Insufficient’ DCG Deal,https://www.coindesk.com/business/2023/08/30/genesis-lender-group-opposes-wholly-insufficient-dcg-deal/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 09:43:36 +0000",Creditors with $2.4 billion in claims against the bankrupt crypto lender could scupper an agreement made after months of wrangling.,Jack Schickler,coindesk
88,"US Core PCE Meets Expectations; Consumer Spending Skyrockets 0.8% in July",https://www.fxempire.com/news/article/us-core-pce-meets-expectations-consumer-spending-skyrockets-0-8-in-july-1371561,"Thu, 31 Aug 2023 12:45:42 GMT","In July, the PCE price index climbed by 0.2%, driven by service sector gains. Personal income grew by 0.2%, pushing consumer spending up by 0.8%.",James Hyerczyk,fxempire
49,"Grayscale Ruling Does Not Guarantee Bitcoin Spot ETF Approval, Traders Say",https://www.coindesk.com/markets/2023/08/30/grayscale-ruling-does-not-guarantee-bitcoin-spot-etf-approval-traders-say/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 08:36:12 +0000","“It doesn't mean that now Grayscale will be 100% able to list a spot Bitcoin ETF, nor that this will happen in the future,” one trader said.",Shaurya Malwa,coindesk
50,Crypto Bank Seba Wins In-Principle Approval to Operate in Hong Kong,https://www.coindesk.com/policy/2023/08/30/crypto-bank-seba-wins-in-principle-approval-to-operate-in-hong-kong/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,"Wed, 30 Aug 2023 08:20:43 +0000",Approval is the first step in acquiring a full license for Seba Hong Kong to deal in crypto or virtual assets-related products and traditional securities,Amitoj Singh,coindesk
51,Web3’s Swiss Army knife of personal finance Changex joins Cointelegraph Accelerator,https://cointelegraph.com/news/web3s-swiss-army-knife-of-personal-finance-changex-joins-cointelegraph-accelerator,"Sun, 03 Sep 2023 11:00:00 +0100",Changex combines crypto trading and lending with traditional banking features that also include an upcoming Visa debit card.,Cointelegraph By Cointelegraph Accelerator,cointelegraph
52,Bitcoin chart highlights $24.7K as analyst says ‘nothing has changed’,https://cointelegraph.com/news/bitcoin-price-chart-analyst-nothing-changed,"Sun, 03 Sep 2023 10:49:22 +0100","Bitcoin has neither broken out nor down, but the status quo still includes the risk of a trip to BTC price “bearadise.“",Cointelegraph By William Suberg,cointelegraph
